Country,CountryName,Year,INVESTMENT,CAPITAL,GDP,HC_index,LABOR,EFFECTIVE_LABOR,TFP,TFP_Growth,GDP_Growth,AI_Publications,TFP_Change,Efficiency_Change,Technical_Change,FDI_inflows,FIN_credit_private,GDPPC_constant2015,GOV_consumption,INF_broadband,INF_internet,INF_mobile,INST_rule_of_law,OPEN_trade,POP_total,URB_urban_pop,LNPGDP_constant2015,LN_AI_pub,LN_HC_index,LN_AI_pub_L1
BOL,Bolivia,2017,8151861191.7661,63385574291.67279,35850757840.6068,2.90920758247376,5038909.0,14659232.270195272,130.56578771668586,-1.986139811851928,4.19520633360404,3.0,0.9240893257188332,1.0,0.9240893257188332,1.55130384811576,47.873300738401,3160.16421228968,15.1955405478657,3.34958,43.8323,96.6384,-1.24510812759399,45.5761123650708,11344587.0,69.0838016274736,8.058379271145233,1.3862943611198906,1.067880735672468,1.0986122886681098
BOL,Bolivia,2018,8509563007.6485,68725858584.73766,36878987707.3734,2.93748831748962,5365984.0,15762515.31183622,124.5461599271148,-4.610417395583766,2.8680840481479786,5.0,0.9142645537179106,1.0,0.9142645537179106,0.624547731622922,52.1161124499522,3204.53670819124,16.0782526056378,4.38026,44.2861,99.4566,-1.21190083026886,46.9261953417368,11508368.0,69.4133879813999,8.072322806079557,1.791759469228055,1.0775549024375588,1.3862943611198906
BOL,Bolivia,2019,8900456332.53374,74190021988.03452,37434651169.5829,2.96604371070862,5622105.0,16675409.176193485,118.65967133329823,-4.726350934674639,1.506721026668556,3.0,0.9212206905657375,1.0,0.9212206905657375,-0.44160551411852,54.8862654855189,3207.3869521223,16.115250287981,6.39917,47.4748,100.149,-1.18941926956177,45.8209732749024,11671386.0,69.7334986708387,8.073211851012028,1.3862943611198906,1.0872289808656173,1.791759469228055
BOL,Bolivia,2020,5318612175.28535,75799133063.91814,32673162315.3388,2.99487709999084,5437862.0,16285728.376710389,104.38401926802301,-12.030753081370783,-12.7194690092718,5.0,0.8541098654585138,1.0,0.8541098654585138,-2.66931283946252,69.3991245633785,2765.0927177231,18.606656345504,7.88672,59.9401,99.8988,-1.21863114833832,37.5164342446486,11816299.0,70.0442635528254,7.924829446024645,1.791759469228055,1.0969031956639623,1.3862943611198906
BOL,Bolivia,2021,6370628388.4377,78379804799.15993,35949969735.497,3.02450704574585,6149056.0,18597863.196685795,104.13005199789463,-0.24330091129781684,10.029048882788638,8.0,1.0653547163862895,1.0,1.0653547163862895,1.21888494970059,62.8488382346261,3011.55110807557,16.9868563354909,9.44574,65.9774,100.809,-1.17760181427002,47.6670843158984,11937360.0,70.3450412826165,8.010210543309576,2.1972245773362196,1.106748118119351,1.791759469228055
BOL,Bolivia,2022,6626840558.66727,81087655117.8692,37297165304.9227,3.05485272407532,6409114.0,19578899.361809272,103.24743891502983,-0.8476064939280326,3.7474178124146773,8.0,1.0173482219944912,1.0,1.0173482219944912,0.0122391923945909,62.9475276019569,3088.24126155241,16.3831026050567,10.9975,67.3612,101.572,-1.30140423774719,57.5249335789631,12077154.0,70.6352598708131,8.03535703683384,2.1972245773362196,1.1167313833028567,2.1972245773362196
BOL,Bolivia,2023,6824095914.39533,83857368276.37106,38235698454.9001,3.08593535423279,6580994.0,20308522.050593864,102.15007518234663,-1.0628483807586853,2.5163659015488893,16.0,0.9979269632451291,1.0,0.9979269632451291,0.458812480265399,60.2219708371781,3122.77049447823,16.8530546961722,10.9975,70.2368,101.572,-1.21933794021606,49.6083255594597,12244159.0,70.9151414044538,8.046475865782845,2.833213344056216,1.1268548056440404,2.1972245773362196
BOL,Bolivia,2024,6083666163.98126,85748166026.53377,37806175459.3053,,6822598.0,,,0.0,-1.1233559551721894,21.0,,,,0.705218407730592,59.2427794669511,3045.61476602385,16.5336899279322,10.9975,70.2368,101.572,-1.21933794021606,46.9778716148403,12413315.0,71.2361453773988,8.021458053370118,3.091042453358316,,2.833213344056216
BRA,Brazil,2016,282449055268.201,4114295524902.945,1743173031878.48,2.8806574344635,90212798.0,259872167.24245396,227.37527110121877,-4.214721698591428,-3.2759169063210747,2019.0,0.9487069090478402,0.9800385934240429,0.968030152499672,4.13737853830264,62.1940069637572,8577.84277969667,20.3792974269012,13.2177,60.8725,120.101,-0.201301991939545,24.5336820770756,203218114.0,85.9487048448108,9.056937736591848,7.61085279039525,1.058018543952268,
BRA,Brazil,2017,275225828621.726,4183806577279.5234,1766232928473.27,2.94924998283386,90503629.0,266917826.27465203,225.08807716435308,-1.0059114721615914,1.3228690539079935,2193.0,0.9960911047062674,1.026274021626521,0.9705898071234257,3.33826028420938,59.4843092970149,8628.25209645723,20.1619046967128,14.1218,67.4713,108.093,-0.305428564548492,24.3197343741684,204703445.0,86.1982897571091,9.062797225494023,7.693481640835175,1.0815508949193045,7.61085279039525
BRA,Brazil,2018,289624978886.943,4264241227302.4897,1797736638146.82,3.01947546005249,92076304.0,278022140.3803329,221.63066689165444,-1.5360255044402638,1.7836667613700286,2918.0,0.9980802858475372,1.032587929016543,0.9665813998020764,4.07858861807831,60.2183479382347,8722.33529970988,19.8950877838984,15.1538,70.4343,101.602,-0.30234295129776,28.876203376153,206107261.0,86.4420719945072,9.073642290648193,7.978996370854115,1.1050831275768038,7.693481640835175
BRA,Brazil,2019,301285475912.595,4352314641849.96,1819683008336.22,3.09137320518494,94129066.0,290988072.4614848,216.23439139764193,-2.4348054218735538,1.220777822719521,3333.0,0.9913474990276342,1.0150674753313025,0.9766321186717893,3.69267330426814,62.7905050793429,8771.43950372603,19.9835812871943,15.8622,73.9124,97.3747,-0.224319815635681,28.8902578697354,207455459.0,86.6797991084296,9.079256211432273,8.111928063310739,1.1286153951643716,7.978996370854115
