Country,Year,CountryName,GDP,INVESTMENT,LABOR,HC_index,LABOR_ILOSTAT,CAPITAL,TFP,TFP_Growth,GDP_Growth
CHL,2005,Chile,165194933117.629,35665748849.1411,6916575.0,2.88111042976379,,281807048350.34174,292.328008317565,0.7423797523057329,5.837045719177714
CHL,2006,Chile,175189211415.667,37967086197.7195,6578325.0,2.90038323402405,6578325.0,305683782130.5441,309.9495825042981,6.028014314519692,6.049990825639573
CHL,2007,Chile,184243394522.927,41980886339.0524,7369317.0,2.91978454589844,,332380479363.06934,292.7613690254775,-5.545486894979856,5.168230985284472
CHL,2008,Chile,191225100461.158,49820898789.8474,7648250.0,2.93931579589844,,365582354184.76324,285.6437055511585,-2.4312167612864144,3.789392806352243
CHL,2009,Chile,189087132632.604,44311906252.381,6636881.0,2.95897746086121,6636881.0,391615142727.90607,301.05265545413033,5.394465063824794,-1.118037236428726
CHL,2010,Chile,200151851762.225,49233500296.9704,7340840.0,2.97877097129822,7340840.0,421267885888.48114,289.67120270273364,-3.780552187532793,5.8516510222405005
CHL,2011,Chile,212609096429.355,56650992420.0013,7710081.0,2.9968798160553,7710081.0,456855484014.05835,288.5598297499301,-0.38366704816842345,6.223896785091387
CHL,2012,Chile,225695909224.96,63454776828.14,7882616.0,3.01509833335876,7882616.0,497467486641.4954,291.92705005588766,1.1669054243883092,6.155340018555333
CHL,2013,Chile,233163076995.037,64293394414.6439,8045054.0,3.03342795372009,8045054.0,536887506724.0646,288.63560458107156,-1.127489033368434,3.3085082471008276
CHL,2014,Chile,237342873662.271,61687022446.504,8159777.0,3.05186891555786,8159777.0,571730153834.3654,283.6616365942409,-1.7232690312236065,1.7926494713925045
CHL,2015,Chile,242450355830.884,61753005219.7252,8302016.0,3.07042193412781,8302016.0,604896651362.3722,279.82489914183594,-1.3525753776472693,2.1519424998117875
CHL,2016,Chile,246700604515.86,60295644485.195,8400305.0,3.08908796310425,8400305.0,634947463279.4485,276.7136110430538,-1.111869640022678,1.753038749071023
CHL,2017,Chile,250050047209.619,58290641702.5622,8604646.0,3.10786700248718,8604646.0,661490731818.0383,271.1231439509966,-2.020307953405065,1.3576953734394603
CHL,2018,Chile,260027117802.785,62075415014.4734,8791511.0,3.12676072120667,8791511.0,690491610241.6097,272.8100647140854,0.6221972563853484,3.990029477899748
CHL,2019,Chile,261676645417.276,64859828465.1316,8980466.0,3.14576888084412,8980466.0,720826858194.6608,265.67912510780604,-2.6138843571452686,0.6343675338285504
CHL,2020,Chile,245600606668.884,57833106123.1192,7883746.0,3.16489291191101,7883746.0,742618621408.0469,267.51727057967906,0.6918667287567848,-6.143474792240921
CHL,2021,Chile,273390120031.28,67060872244.5355,8314905.000000001,3.18922209739685,8314905.000000001,772548562582.18,282.2971236127237,5.52482200533011,11.31492048790479
CHL,2022,Chile,279278925615.692,70160762873.4074,8876952.0,3.21398735046387,8876952.0,804081897326.4784,271.16450650431176,-3.943581488164394,2.1539935619247164
CHL,2023,Chile,280734996501.051,70123244870.3023,9089552.0,3.23919916152954,9089552.0,834001047330.4568,263.6641978332521,-2.76596253976934,0.5213679772467561
CHL,2024,Chile,288158504434.814,69107658604.9579,9319067.0,3.2646087441941307,9319067.0,861408653568.8918,261.95451481832134,-0.6484319937938632,2.6443115487153834
COL,1992,Colombia,127871346008.238,18941350158.5719,4787551.0,1.96690678596497,4787551.0,195776888971.9748,418.4307220376386,,
COL,1993,Colombia,134757742185.312,25809310501.8927,5288000.0,1.99040949344635,5288000.0,211797355025.26874,399.05202323037275,-4.6312801108143065,5.385409939010377
COL,1994,Colombia,142593449287.222,31339404020.8235,4826677.0,2.0141932964325,4826677.0,232546891294.8288,430.31232682790204,7.833641174018724,5.814661907242935
COL,1995,Colombia,150011784497.792,31623173803.941,5464900.0,2.03826117515564,5464900.0,252542720534.02835,402.58801768926406,-6.4428340556755614,5.202437592786935
COL,1996,Colombia,153095808839.253,31181681297.966,5426435.0,2.06261658668518,5426435.0,271097265805.29294,399.54249866837415,-0.756485262122375,2.0558547128718407
COL,1997,Colombia,158347444690.971,30554755842.2711,5657500.0,2.0872631072998,5657500.0,288097158357.2994,390.69807780611467,-2.2136370703334074,3.4302936778838333
COL,1998,Colombia,159249683235.263,28629532716.5451,5654900.0,2.11220407485962,5654900.0,302321833155.9795,383.49501613957744,-1.8436388801768788,0.5697840884346439
COL,1999,Colombia,152554802278.5,18736210473.7569,5640600.0,2.13744306564331,5640600.0,305941951971.9374,363.6296715973897,-5.1800789335310515,-4.204015242449499
COL,2000,Colombia,157016818928.93,18357953718.4935,5909700.0,2.16298365592957,5909700.0,309002808091.834,359.0518660244212,-1.2589197006005137,2.924861481767227
COL,2001,Colombia,159651401476.819,20142689594.0362,15420171.0,2.18431115150452,15420171.0,313695357281.27844,193.45613330552217,-46.120281883630675,1.677898307875858
COL,2002,Colombia,163649041384.447,22382174106.2068,15580456.0,2.20584893226624,15580456.0,320392763523.42126,194.2777952638157,0.4247277893205448,2.5039804665970555
COL,2003,Colombia,170061255792.911,24952982186.1633,16257845.0,2.22759914398193,16257845.0,329326107533.41345,193.26411025441865,-0.5217709044003427,3.9182719032251123
