cik,name,country,fy,form,total_words,ai_core,ai_applied,ai_total,ai_bare_diag,risk_section_found,ai_in_risk,ai_nonrisk,exposure_nonrisk_per10k,exposure_total_per10k
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,2017,20-F,117726,0,0,0,0,1,0,0,0.0,0.0
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,2018,20-F,115337,0,0,0,0,1,0,0,0.0,0.0
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,2019,20-F,136320,0,0,0,0,1,0,0,0.0,0.0
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,2020,20-F,135546,0,0,0,0,1,0,0,0.0,0.0
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,2021,20-F,149808,0,0,0,0,1,0,0,0.0,0.0
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,2022,20-F,180348,0,0,0,0,1,0,0,0.0,0.0
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,2023,20-F,137125,2,0,2,0,1,0,2,0.1459,0.1459
1041792,ENERGY CO OF PARANA,Brazil,2019,20-F,161592,0,0,0,0,1,0,0,0.0,0.0
1041792,ENERGY CO OF PARANA,Brazil,2020,20-F,168098,0,0,0,0,1,0,0,0.0,0.0
1041792,ENERGY CO OF PARANA,Brazil,2021,20-F,187630,0,0,0,0,1,0,0,0.0,0.0
1041792,ENERGY CO OF PARANA,Brazil,2022,20-F,191207,0,0,0,0,1,0,0,0.0,0.0
1041792,ENERGY CO OF PARANA,Brazil,2023,20-F,193935,2,0,2,1,1,0,2,0.1031,0.1031
1041792,ENERGY CO OF PARANA,Brazil,2024,20-F,181677,3,0,3,1,0,0,3,0.1651,0.1651
1041792,ENERGY CO OF PARANA,Brazil,2025,20-F,173215,5,0,5,1,0,0,5,0.2887,0.2887
1044896,Industrias Bachoco S.A.B. de C.V.,Mexico,2017,20-F,79041,0,0,0,0,1,0,0,0.0,0.0
1044896,Industrias Bachoco S.A.B. de C.V.,Mexico,2018,20-F,78590,0,0,0,0,1,0,0,0.0,0.0
1044896,Industrias Bachoco S.A.B. de C.V.,Mexico,2019,20-F,78900,0,0,0,0,1,0,0,0.0,0.0
1044896,Industrias Bachoco S.A.B. de C.V.,Mexico,2020,20-F,82190,0,0,0,0,1,0,0,0.0,0.0
1044896,Industrias Bachoco S.A.B. de C.V.,Mexico,2021,20-F,99222,0,0,0,0,0,0,0,0.0,0.0
1047716,LATAM AIRLINES GROUP S.A.,Chile,2017,20-F,145166,0,0,0,0,0,0,0,0.0,0.0
1047716,LATAM AIRLINES GROUP S.A.,Chile,2018,20-F,149800,0,0,0,0,0,0,0,0.0,0.0
1047716,LATAM AIRLINES GROUP S.A.,Chile,2019,20-F,154345,1,0,1,0,0,0,1,0.0648,0.0648
1047716,LATAM AIRLINES GROUP S.A.,Chile,2020,20-F,166821,2,0,2,2,1,0,2,0.1199,0.1199
1047716,LATAM AIRLINES GROUP S.A.,Chile,2021,20-F,185910,1,0,1,1,1,0,1,0.0538,0.0538
