cik,name,country,fy,revenue,revenue_concept,cogs,cogs_concept,ppe_net,ppe_net_concept,assets,assets_concept,intangibles,intangibles_concept,goodwill,goodwill_concept,rnd,rnd_concept,liabilities,liabilities_concept,units
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2022,68615768000,ifrs-full:Revenue,43357747000,ifrs-full:CostOfSales,82236399000,ifrs-full:PropertyPlantAndEquipment,299107531000,ifrs-full:Assets,,,,,,,154977626000,ifrs-full:Liabilities,MXN
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2023,66222836000,ifrs-full:Revenue,43297440000,ifrs-full:CostOfSales,77848576000,ifrs-full:PropertyPlantAndEquipment,262670257000,ifrs-full:Assets,,,,,,,127997824000,ifrs-full:Liabilities,MXN
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2024,62260864000,ifrs-full:Revenue,41117033000,ifrs-full:CostOfSales,63664261000,ifrs-full:PropertyPlantAndEquipment,251657896000,ifrs-full:Assets,,,,,,,139962271000,ifrs-full:Liabilities,MXN
913059,Banco BBVA Argentina S.A.,Argentina,2018,,,,,26057844000,ifrs-full:PropertyPlantAndEquipment,556169426000,ifrs-full:Assets,,,,,,,486110858000,ifrs-full:Liabilities,ARS
913059,Banco BBVA Argentina S.A.,Argentina,2019,,,,,35494157000,ifrs-full:PropertyPlantAndEquipment,618310699000,ifrs-full:Assets,,,,,,,503493790000,ifrs-full:Liabilities,ARS
913059,Banco BBVA Argentina S.A.,Argentina,2020,,,,,50970192000,ifrs-full:PropertyPlantAndEquipment,1046062309000,ifrs-full:Assets,,,,,,,873168961000,ifrs-full:Liabilities,ARS
913059,Banco BBVA Argentina S.A.,Argentina,2021,,,,,99191276000,ifrs-full:PropertyPlantAndEquipment,2008278980000,ifrs-full:Assets,,,,,,,1690739197000,ifrs-full:Liabilities,ARS
913059,Banco BBVA Argentina S.A.,Argentina,2022,,,,,299274663000,ifrs-full:PropertyPlantAndEquipment,6078456674000,ifrs-full:Assets,,,,,,,4953031616000,ifrs-full:Liabilities,ARS
913059,Banco BBVA Argentina S.A.,Argentina,2023,,,,,649407209000,ifrs-full:PropertyPlantAndEquipment,13305540254000,ifrs-full:Assets,,,,,,,10224683502000,ifrs-full:Liabilities,ARS
913059,Banco BBVA Argentina S.A.,Argentina,2024,,,,,646547368000,ifrs-full:PropertyPlantAndEquipment,14719893843000,ifrs-full:Assets,,,,,,,12104066606000,ifrs-full:Liabilities,ARS
917851,Vale S.A.,Brazil,2016,27488000000,ifrs-full:Revenue,17650000000,ifrs-full:CostOfSales,55419000000,ifrs-full:PropertyPlantAndEquipment,99014000000,ifrs-full:Assets,,,,,319000000,ifrs-full:ResearchAndDevelopmentExpense,57990000000,ifrs-full:Liabilities,USD
917851,Vale S.A.,Brazil,2017,33967000000,ifrs-full:Revenue,21039000000,ifrs-full:CostOfSales,54878000000,ifrs-full:PropertyPlantAndEquipment,99184000000,ifrs-full:Assets,,,,,340000000,ifrs-full:ResearchAndDevelopmentExpense,54412000000,ifrs-full:Liabilities,USD
917851,Vale S.A.,Brazil,2018,36575000000,ifrs-full:Revenue,22109000000,ifrs-full:CostOfSales,48385000000,ifrs-full:PropertyPlantAndEquipment,88190000000,ifrs-full:Assets,,,,,373000000,ifrs-full:ResearchAndDevelopmentExpense,43358000000,ifrs-full:Liabilities,USD
917851,Vale S.A.,Brazil,2019,36549000000,ifrs-full:Revenue,19312000000,ifrs-full:CostOfSales,46576000000,ifrs-full:PropertyPlantAndEquipment,91713000000,ifrs-full:Assets,,,,,413000000,ifrs-full:ResearchAndDevelopmentExpense,52720000000,ifrs-full:Liabilities,USD
