cik,fy,form,employees,emp_matches,emp_min,emp_max
1540684,2017,10-K,,0,,
1540684,2018,10-K,,0,,
1540684,2019,10-K,,0,,
1540684,2020,10-K,,0,,
1540684,2021,10-K,,0,,
1540684,2022,10-K,,0,,
1540684,2023,10-K,,0,,
1540684,2024,10-K,,0,,
1540684,2025,10-K,,0,,
1557860,2017,20-F,5041,1,5041,5041
1557860,2018,20-F,5631,1,5631,5631
1557860,2019,20-F,3745,3,3745,6753
1557860,2020,20-F,8384,2,500,8384
1557860,2021,20-F,11855,2,500,11855
1557860,2022,20-F,16251,2,500,16251
1557860,2023,20-F,23526,1,23526,23526
1557860,2024,20-F,31000,2,27122,31000
1557860,2025,20-F,28773,3,28773,29150
1562767,2017,20-F,2728,3,963,2728
1562767,2018,20-F,2429,4,845,2429
1565025,2017,20-F,51432,2,51432,51432
1565025,2018,20-F,49617,2,49617,49617
1565025,2019,20-F,51352,2,51352,51352
1565025,2020,20-F,50479,2,50479,50479
1565025,2021,20-F,52806,2,52806,52806
1565025,2022,20-F,47108,2,47108,47108
1565025,2023,20-F,42774,2,42774,42774
1565025,2024,20-F,42167,2,42167,42167
1565025,2025,20-F,39606,2,39606,39606
1572621,2017,20-F,31520,2,31520,31520
1572621,2018,20-F,11891,2,11891,11891
1572621,2019,20-F,15164,3,5850,15164
1572621,2020,20-F,18204,2,18204,18204
1572621,2021,20-F,18598,2,18598,18598
1572621,2022,20-F,13261,2,13261,13261
1572621,2023,20-F,12787,2,12787,12787
1575969,2017,20-F,25306,4,241,25306
1575969,2018,20-F,11001,5,229,21861
1575969,2019,20-F,20874,3,206,20874
1575969,2020,20-F,4740,5,1303,14568
1615903,2019,20-F,662,7,296,6655
1615903,2020,20-F,678,7,217,6408
1615903,2021,20-F,811,7,301,6176
1615903,2022,20-F,667,9,290,6162
1615903,2023,20-F,648,9,245,6266
1615903,2024,20-F,1274,7,210,6328
1615903,2025,20-F,1518,7,293,6742
1659939,2017,20-F,1948,3,1948,1993
1659939,2018,20-F,2062,3,2062,2096
1659939,2019,20-F,2148,3,2142,2148
1659939,2020,20-F,2219,3,2202,2219
1659939,2021,20-F,2215,3,2215,2221
1659939,2022,20-F,2158,3,2158,2256
1659939,2023,20-F,2077,3,2077,2134
1659939,2024,20-F,1952,3,1952,2003
1659939,2025,20-F,1852,4,1792,1852
1691493,2021,20-F,2452,3,250,80000
1691493,2022,20-F,2929,2,250,2929
1691493,2023,20-F,7700,2,6068,7700
1691493,2024,20-F,8049,1,8049,8049
1691493,2025,20-F,7686,1,7686,7686
1698287,2017,20-F,15116,4,5202,15116
1698287,2018,20-F,16016,4,5533,16016
1698287,2019,20-F,15857,4,5141,15857
1698287,2020,20-F,21183,4,5034,21183
1698287,2021,20-F,25276,4,5179,25276
1698287,2022,20-F,25990,4,5147,25990
1703141,2017,20-F,2961,2,2961,2961
1703141,2018,20-F,3398,2,3398,3398
1703141,2019,20-F,3029,2,3029,3029
1703141,2020,20-F,3577,2,3577,3577
1703141,2021,20-F,3824,2,3824,3824
1703141,2022,20-F,4543,2,4543,4543
1703141,2023,20-F,4593,2,4593,4593
1703141,2024,20-F,3956,2,3956,3956
1711375,2017,20-F,1239,2,1239,1239
1711375,2018,20-F,1232,2,1232,1232
1711375,2019,20-F,1221,3,800,1221
1711375,2020,20-F,2900,4,1151,2900
1711375,2021,20-F,2849,4,1105,2849
1711375,2022,20-F,2886,4,1090,2886
1711375,2023,20-F,2885,4,1077,2885
1711375,2024,20-F,2821,4,1028,2821
1711375,2025,20-F,2689,4,975,2689
1712807,2017,20-F,,0,,
1712807,2018,20-F,,0,,
1712807,2019,20-F,,0,,
1712807,2020,20-F,,0,,
1712807,2021,20-F,,0,,
1712807,2022,20-F,,0,,
1712807,2023,20-F,7273,2,7273,7273
1712807,2024,20-F,8595,2,8595,8595
1712807,2025,20-F,8645,2,8645,8645
1713930,2017,20-F,5446,1,5446,5446
